normkind,num_peaks,score
lognorm,5,0.5171606033285601
lognorm,6,0.6025586340474111
lognorm,7,0.6380577818724105
lognorm,8,0.6803138726168914
lognorm,9,0.6886717640804326
lognorm,10,0.7529013785921679
lognorm,11,0.7645213445824901
lognorm,12,0.7771404832267836
lognorm,13,0.7907416625342318
lognorm,14,0.7946789729448399
lognorm,15,0.8100010152386315
lognorm,16,0.8276279262103567
lognorm,17,0.8625634769856907
lognorm,18,0.8609698611502017
lognorm,19,0.8496437707459381
lognorm,20,0.8691101533915001
lognorm,21,0.8834176640353109
lognorm,22,0.9059017251238612
lognorm,23,0.9075069866064446
lognorm,24,0.9100444901245984
lognorm,25,0.9272137602249829
lognorm,26,0.9180270021086584
lognorm,27,0.9312679559862224
lognorm,28,0.9228695340177536
lognorm,29,0.9295301193045
lognorm,30,0.9186822638146168
lognorm,31,0.9234533894897666
lognorm,32,0.9332428709920968
lognorm,33,0.9333729885095982
lognorm,34,0.9429390153190458
lognorm,35,0.9225922850799008
lognorm,36,0.9339849724578824
lognorm,37,0.9314193354375242
lognorm,38,0.928994237487658
lognorm,39,0.9335366535769009
lognorm,40,0.9352780793338062
lognorm,41,0.9399316729881744
lognorm,42,0.9226586167960004
lognorm,43,0.928684666769419
lognorm,44,0.9253408884287364
lognorm,45,0.931227032040886
lognorm,46,0.9185342930633176
lognorm,47,0.9251420317728364
lognorm,48,0.9237032174911428
lognorm,49,0.9163950601771804
znorm,5,0.579300656344
znorm,6,0.5654302008620894
znorm,7,0.5527367419302402
znorm,8,0.5887854411670201
znorm,9,0.5897923742923744
znorm,10,0.6197588448703
znorm,11,0.617887905567085
znorm,12,0.6140500719181061
znorm,13,0.6199122698766661
znorm,14,0.6108274470627412
znorm,15,0.6326344011165991
znorm,16,0.6214122760624305
znorm,17,0.6309336475787714
znorm,18,0.637465482831582
znorm,19,0.6415429489241408
znorm,20,0.6465562634819598
znorm,21,0.6518146500901919
znorm,22,0.6540178383707794
znorm,23,0.6610840178053797
znorm,24,0.6430626197417993
znorm,25,0.6558006802279249
znorm,26,0.6409179525754601
znorm,27,0.6508928894892517
znorm,28,0.6387748822385045
znorm,29,0.6506749671037596
znorm,30,0.6495216597987497
znorm,31,0.6393325911274829
znorm,32,0.6486115811433147
znorm,33,0.6603612769239706
znorm,34,0.6458612205218242
znorm,35,0.6491336964978603
znorm,36,0.6645714960993598
znorm,37,0.6518105963953489
znorm,38,0.6575060316360625
znorm,39,0.659914560327873
znorm,40,0.6735016874250621
znorm,41,0.6809861184567068
znorm,42,0.6616399377196589
znorm,43,0.6850553966587247
znorm,44,0.697053751760795
znorm,45,0.6904538265741826
znorm,46,0.6990734640316686
znorm,47,0.7044405703945178
znorm,48,0.7151421040689615
znorm,49,0.7050593020670419
